Date,Calories_intake,Calories_Burnt,INSUBBUR
23-03-2016,3.063,1.542,1.521
24-03-2016,2.503,0.817,1.686
25-03-2016,3.052,1.646,1.406
26-03-2016,3.021,1.587,1.434
27-03-2016,2.223,0.588,1.635
28-03-2016,1.79,1.29,0.5
29-03-2016,2.648,1.009,1.639
30-03-2016,3.768,2.417,1.351
31-03-2016,3.512,2.107,1.405
01-04-2016,2.814,1.176,1.638
02-04-2016,2.884,1.335,1.549
03-04-2016,2.931,1.437,1.494
04-04-2016,3.314,1.731,1.583
05-04-2016,3.83,2.58,1.25
06-04-2016,4.112,2.85,1.262
07-04-2016,3.048,1.472,1.576
08-04-2016,3.241,1.874,1.367
09-04-2016,3.038,1.607,1.431
10-04-2016,2.304,0.659,1.645
11-04-2016,3.419,1.928,1.491
12-04-2016,3.179,1.696,1.483
13-04-2016,3.427,1.967,1.46
14-04-2016,3.479,1.954,1.525
15-04-2016,3.501,2.166,1.335
16-04-2016,3.342,1.947,1.395
17-04-2016,2.769,1.266,1.503
18-04-2016,3.486,1.926,1.56
19-04-2016,3.596,2.085,1.511
20-04-2016,3.321,1.795,1.526
21-04-2016,3.464,1.964,1.5
22-04-2016,3.328,2.02,1.308
23-04-2016,2.612,1.135,1.477
24-04-2016,2.863,1.411,1.452
25-04-2016,3.175,1.805,1.37
26-04-2016,3.357,1.798,1.559
27-04-2016,3.631,2.07,1.561
28-04-2016,4.03,2.711,1.319
29-04-2016,3.442,1.931,1.511
30-04-2016,3.061,1.651,1.41
01-05-2016,3.331,1.937,1.394
02-05-2016,2.989,1.477,1.512
03-05-2016,3.796,2.36,1.436
04-05-2016,3.525,2.075,1.45
05-05-2016,3.649,2.249,1.4
06-05-2016,3.539,2.112,1.427
07-05-2016,3.04,1.604,1.436
