DATEPRD,BORE_OIL_VOL
04-07-2010,2607.44
05-07-2010,2617.56
06-07-2010,2625.72
07-07-2010,2544.95
08-07-2010,2553.36
09-07-2010,2555.11
10-07-2010,1939.01
11-07-2010,2424.14
12-07-2010,2269.88
13-07-2010,1826.45
14-07-2010,1827.73
15-07-2010,1826.06
16-07-2010,1823.13
17-07-2010,1815.13
18-07-2010,1806.68
19-07-2010,1802.24
20-07-2010,1801.56
21-07-2010,1792.8
22-07-2010,1784.02
23-07-2010,1862.91
24-07-2010,1864.5
25-07-2010,1864.86
26-07-2010,1857.44
27-07-2010,1859.6
28-07-2010,1857.2
29-07-2010,1854.41
30-07-2010,1846.25
31-07-2010,1843.09
01-08-2010,1840.05
02-08-2010,1845.51
03-08-2010,1842.67
04-08-2010,1841.26
05-08-2010,1571.99
06-08-2010,1795.62
07-08-2010,1497.63
08-08-2010,1800.73
09-08-2010,1813.43
10-08-2010,1819.75
11-08-2010,1821.23
12-08-2010,1818.76
13-08-2010,1820.43
14-08-2010,1821.21
15-08-2010,1728.56
17-08-2010,0
20-08-2010,0
21-08-2010,0
22-08-2010,0
23-08-2010,0
25-08-2010,0
26-08-2010,0
27-08-2010,0
28-08-2010,0
29-08-2010,1070.35
30-08-2010,1242.2
31-08-2010,1125.98
01-09-2010,983.23
02-09-2010,1940.09
03-09-2010,2007.25
04-09-2010,2080.81
05-09-2010,2071.12
06-09-2010,2041.11
07-09-2010,2037.38
08-09-2010,2016.26
09-09-2010,2000.42
10-09-2010,1893.54
11-09-2010,1907.68
12-09-2010,2023.3
13-09-2010,1968.77
14-09-2010,2038.68
15-09-2010,2055.21
16-09-2010,2047.27
17-09-2010,2048.29
18-09-2010,1452.33
19-09-2010,1870.38
20-09-2010,1456.41
21-09-2010,172.22
22-09-2010,595.31
23-09-2010,0
24-09-2010,1827.69
25-09-2010,2119.34
26-09-2010,1959.45
27-09-2010,2083.05
28-09-2010,2048.5
29-09-2010,2023.29
30-09-2010,544.55
01-10-2010,1549.02
02-10-2010,1975.26
03-10-2010,1895.18
04-10-2010,1400.07
05-10-2010,1145.88
06-10-2010,1836.44
07-10-2010,1846.83
08-10-2010,876.19
09-10-2010,1790.64
10-10-2010,1778.2
11-10-2010,1764.81
12-10-2010,1759.08
13-10-2010,1759.79
14-10-2010,1740.58
15-10-2010,1732.86
16-10-2010,1726.59
